source,year,province,location,lat,lon,pop,type,host,count,confirmed,beetle,label,notes,lat_dd,lon_dd,elevation
EXT,2011,East Sulawesi,Tinokari,"03¡39'51"" S","121¡02'23"" E",TINO,host,Mikania,0,yes,yes,yes,Matsubayashi et al. 2015; 2016,-3.664166667,121.0397222,69
EXT,2011,North Sulawesi,Manado,"01¡22'29.6"" N","124¡54'34.4"" E",MANA,host,Coleus,0,yes,yes,yes,Matsubayashi et al. 2015; 2016,1.374888889,124.9095556,569
INT,2023,South Sulawesi,Bulete,"03¡42'29.3"" S","120¡22'46.2"" E",BULE,host,Leucas,0,no,no,yes,NA,-3.708138889,120.3795,23
INT,2023,South Sulawesi,Palopo,"03¡01'23.5"" S","120¡09'52.9"" E",PALO2,host,Coleus,0,no,no,yes,NA,-3.023194444,120.1646944,258
INT,2023,South Sulawesi,Bonglo,"03¡03'27.2"" S","120¡06'17.0"" E",BONG,host,no,0,no,no,yes,NA,-3.057555556,120.1047222,779
INT,2023,South Sulawesi,Pantilang,"03¡06'10.9"" S","120¡03'00.2"" E",PANT,host,no,0,no,no,yes,NA,-3.103027778,120.0500556,576
INT,2023,South Sulawesi,Salu Bua,"03¡06'10.9"" S","120¡01'39.7"" E",SALU,host,no,0,no,no,yes,NA,-3.103027778,120.0276944,604
INT,2023,Central Sulawesi,Bambalemo,"0¡48'11.6"" S","120¡08'44.3"" E",BAMB,host,Leucas,0,yes,no,no,NA,-0.803222222,120.1456389,28
INT,2023,Central Sulawesi,Bambalemo,"0¡48'08.0"" S","120¡08'42.8"" E",BAMB,host,Mikania,0,no,no,no,NA,-0.802222222,120.1452222,18
INT,2023,Central Sulawesi,Jono Kalora,"0¡47'59.0"" S","120¡08'16.8"" E",JOKA2,host,Leucas,0,yes,no,no,NA,-0.799722222,120.138,43
INT,2023,Central Sulawesi,Toboli,"0¡42'37.7"" S","120¡05'42.4"" E",TOBO,host,Leucas,0,yes,no,yes,NA,-0.710472222,120.0951111,35
INT,2023,South Sulawesi,Kasintuwu,"02¡16'36.4"" S","120¡46'33.1"" E",KASI1,host,no,0,no,no,yes,NA,-2.276777778,120.7758611,1272
INT,2023,South Sulawesi,Kasintuwu,"02¡18'32.6"" S","120¡46'24.2"" E",KASI2,host,Coleus,0,no,no,yes,NA,-2.309055556,120.7733889,1045
INT,2023,South Sulawesi,Olang,"03¡15'28.8"" S","120¡19'55.9"" E",OLAN,host,no,0,no,no,yes,NA,-3.258,120.3321944,20
