host,pop,family,batch,id,food,start,end,dur,mass,death,status,stc
mik,MASG,MASG.HD.004.5,MASG.HD.004.5.2,MASG.HD.004.5.2.L10,leu,20/04/2024,NA,8,NA,28/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C1,col,18/03/2024,NA,26,NA,13/04/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C2,col,18/03/2024,NA,5,NA,23/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.1,MASG.HD.004.2.1.C3,col,18/03/2024,NA,5,NA,23/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C1,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C2,col,20/03/2024,NA,7,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C3,col,20/03/2024,NA,8,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.1,MASG.HD.004.1.1.C4,col,20/03/2024,NA,27,NA,16/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C5,col,21/03/2024,NA,29,NA,19/04/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C6,col,21/03/2024,NA,7,NA,28/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C7,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.1,MASG.HD.004.1.2,MASG.HD.004.1.2.C8,col,21/03/2024,NA,6,NA,27/03/2024,dead,2
mik,MASG,MASG.HD.004.2,MASG.HD.004.2.2,MASG.HD.004.2.2.C4,col,22/03/2024,NA,5,NA,27/03/2024,dead,2
